Date,Close,High,Low,Open,Volume
2006-01-03,87.22509002685547,87.43162352194778,85.63479997268549,86.18555245802169,73256700
2006-01-04,87.63813781738281,87.76893743341189,87.22507091769238,87.33522349157352,51899600
2006-01-05,87.69319915771484,87.837770455679,87.34898028093447,87.53486141571928,47307500
2006-01-06,88.42293548583984,88.51931633887344,87.67942154612699,88.13379292673903,62885900
2006-01-09,88.65010833740234,88.84975060951409,88.38161810678388,88.4091509873524,43527400
2006-01-10,88.7396011352539,88.79467740301219,88.29900149791168,88.38850174610937,44960800
2006-01-11,89.02188873291016,89.11138900691044,88.62259355509038,88.82224639636377,49598900
2006-01-12,88.67079162597656,89.00123883195118,88.42295359531379,88.86355337152237,40509200
2006-01-13,88.58815002441406,88.73960714482523,88.25770290021003,88.51243196893317,44856700
2006-01-17,88.34721374511719,88.40917061869666,87.98922318989253,88.25771348012954,52066600
2006-01-18,87.99612426757812,88.73963314102869,87.54175802560077,87.83090065707398,75067600
2006-01-19,88.33340454101562,88.65009037938187,87.98918582765825,88.20949084647327,81530400
2006-01-20,86.72252655029297,88.33346877918736,86.72252655029297,88.31281648174479,114957800
2006-01-23,87.03227996826172,87.30765605821784,86.83263243435258,86.88770870281621,67017400
2006-01-24,87.12181854248047,87.5348802329394,87.03231825376538,87.17688958280779,53008800
2006-01-25,87.19756317138672,87.55554863500356,86.6330389460021,87.45916773124652,87747700
2006-01-26,87.67941284179688,87.89282681627577,87.2663513337504,87.60368428587945,71294000
2006-01-27,88.4917984008789,88.57441808775948,87.74140365038595,87.88598022388085,65771200
2006-01-30,88.42293548583984,88.67765406070184,88.36097861704505,88.42293548583984,33709600
2006-01-31,87.77577209472656,88.4917423979708,87.76888624978362,88.3402958281119,72937000
2006-02-01,88.38851165771484,88.41604454231945,87.92725968133043,87.99610239756709,63561000
2006-02-02,87.36273956298828,88.21640078543568,87.29389684788748,88.18886790128535,83626900
2006-02-03,86.92902374267578,88.38851351848616,86.83952873492032,87.1424429955737,86040400
2006-02-06,87.15621185302734,87.29390254457695,86.86018343164922,87.04606455215048,45511900
2006-02-07,86.3851547241211,87.19751132445654,86.3300784540463,87.00474437919478,71208100
2006-02-08,87.16999816894531,88.1888884478544,86.46778865517133,86.63989810920327,59422200
2006-02-09,87.02542114257812,87.84465851836062,86.9978830014579,87.37652062404347,62023300
2006-02-10,87.18374633789062,87.52107932641623,86.36450382768011,87.03917505709394,64508700
2006-02-13,87.02542114257812,87.28702560467525,86.70873514587717,87.156220747445,52308700
2006-02-14,87.94792938232422,88.1406911268936,86.88773453482901,87.05984398567504,90964400
2006-02-15,88.25769805908203,88.34031771414467,87.5967985945634,87.89971281877021,85471300
2006-02-16,88.91860961914062,88.95303360267232,88.24393315703904,88.3540857024505,61017900
2006-02-17,88.67767333984375,88.91863077717613,88.51933558359163,88.84290219727689,40342600
2006-02-21,88.45735931396484,89.08382960521507,88.3196633772526,88.8841873045425,46456300
2006-02-22,88.99437713623047,89.25597641518554,88.56753846210357,88.65015815968948,42326700
2006-02-23,88.86354064941406,89.24906408531237,88.31278838181971,88.99434549474937,43423200
2006-02-24,89.09071350097656,89.13889867114948,88.64322275229625,88.88418011733367,36777400
2006-02-27,89.12515258789062,89.52443722462289,89.00122833481169,89.08383750038028,35858600
2006-02-28,88.2783432006836,89.43492373542051,88.20950574921513,88.94612845779503,74394800
2006-03-01,89.06320190429688,89.14582159007895,88.46426433219885,88.53311231956258,48641600
