Black-Scholes Delta,No Hedge,Full Hedge,Constant 50% Hedge,DRL_PPO,DRL_SAC
-5.029201398639401,-4.7657348621287525,0.1647698743378072,-2.3004824938954727,-4.532357398115948,-10.04181424471193
-5.211828774472707,-5.033681226681992,-0.5633552559384327,-2.7985182413102123,-3.412543596835782,-2.7779191547617614
-7.412406739268262,0.0,-8.58436961454592,-4.29218480727296,-4.29218480727296,-9.025979149147043
-5.088690320404552,-10.240318183696033,0.5396429721643301,-4.850337605765851,-6.217221263132274,-1.606003012646923
-5.124567293284272,0.0,-0.04209955521542952,-0.02104977760771476,-1.15112478000011,-5.462606309885089
-5.664291071757495,0.0,-1.3703065718032832,-0.6851532859016416,-0.6851532859016416,-7.702380045498648
-6.458904808947608,0.0,-6.159601939573037,-3.0798009697865183,-3.0798009697865183,-2.846745485259466
-6.813772038190308,0.0,-2.4736485317585277,-1.2368242658792639,-1.2368242658792639,-6.938485526577139
-4.880422739545716,0.0,-6.180809962254656,-3.090404981127328,-3.090404981127328,-2.7497136709330645
-5.4903084963650315,-11.164060321926044,-0.7613949597922272,-5.962727640859136,-7.235918365854971,-9.373735192673593
-5.490259491211986,0.0,-1.2290077134537825,-0.6145038567268912,-1.5364392842705428,-3.2219934465634563
-6.43414079200339,-3.2205363779610963,-1.3411465339844995,-2.280841455972798,-2.280841455972798,-4.725174594837213
-4.860154818616394,-7.344743108953821,0.7696717043769183,-3.2875357022884515,-4.668057544754838,-4.1577398072215885
-4.720704386734926,0.0,-6.79012728664803,-3.395063643324015,-3.395063643324015,-2.143314299947766
-5.507144418181342,0.0,-7.443956312828291,-3.7219781564141456,-3.7219781564141456,-2.8328170198898697
-5.281593765048754,-9.407965981236686,1.717087813966728,-3.8454390836349788,-5.924467622790154,-5.205463324129312
-5.667475471181163,-21.228358030268254,-0.4861089713896689,-10.857233500828961,-8.976921427720043,-8.674665794567261
-6.153319927157284,-2.0092755000728317,-0.4417262700868463,-1.225500885079839,-1.225500885079839,-4.644873946433933
-5.556037994235645,0.0,-0.43651726529303403,-0.21825863264651701,-2.140326890438132,-7.249265752788406
-4.500461361208153,-10.475003128614816,0.18352859219338313,-5.145737268210716,-6.365268014487064,-4.253242815292566
