mean_pnl,std_pnl,sharpe,win_rate,var_95,cvar_95,max_dd,profit_factor,strategy,type,mean_cost
-2.046473789376325,3.03571410093494,-10.701522998428974,25.0,-7.500976977914172,-8.58436961454592,-25265.850161362025,0.07617116951514298,Full Hedge,classical,0.0999854301567824
-4.244483836077016,5.632364810591808,-11.96284230699177,0.0,-11.667275207343154,-21.228358030268254,-0.0,0.0,No Hedge,classical,0.0
-3.1454788127266706,2.410846998350344,-20.711778138700712,0.0,-6.207452933857627,-10.857233500828961,-0.0,0.0,Constant 50% Hedge,classical,0.0499927150783912
-3.7584199319579183,2.2190729606715935,-26.886482703568667,0.0,-7.322968518948224,-8.976921427720043,-0.0,0.0,DRL_PPO,drl,0.13666489935220352
-5.281696629688302,2.5757965239544087,-32.550837737423535,0.0,-9.40713914527551,-10.04181424471193,-0.0,0.0,DRL_SAC,drl,0.38728188254844725
-5.56728430532272,0.7291191477943663,-121.21187430972076,0.0,-6.843703773244206,-7.412406739268262,-0.0,0.0,Black-Scholes Delta,classical,0.4475897824543963
