Strategy,Type,Path,PnL
DRL_TD3,drl,4,0.7266235213385948
DRL_TD3,drl,5,-1.0638468057340773
DRL_TD3,drl,6,-1.9350987839147828
DRL_TD3,drl,7,-4.058318293953577
DRL_TD3,drl,8,-1.5136939696161946
DRL_TD3,drl,9,-6.592089837586286
DRL_TD3,drl,10,-3.637661629619899
DRL_TD3,drl,11,-4.148803362589575
DRL_TD3,drl,12,-6.934133031090255
DRL_TD3,drl,13,-1.9123580508950062
DRL_TD3,drl,14,-5.389181437664758
DRL_TD3,drl,15,-3.810415376554502
DRL_TD3,drl,16,-7.807589350184259
DRL_TD3,drl,17,-2.4388303966472256
DRL_TD3,drl,18,-1.2042911014178737
DRL_TD3,drl,19,-5.411796217537969
