Agent,Type,Algorithm,Mean_PnL,Std_PnL,Mean_Cost,Total_Cost,Win_Count,Loss_Count,Max_PnL,Min_PnL
DRL_PPO,DRL,PPO,-5.232711739938121,3.115304868764291,0.25162698293348057,5.032539658669611,0,20,-0.7546591363015054,-12.639339152269912
DRL_SAC,DRL,SAC,-5.094924102289933,2.78146932225209,0.36035468482751754,7.207093696550351,0,20,-1.7041856420495134,-12.67994642569721
DRL_TD3,DRL,TD3,-3.9402280427540086,2.5079718798373833,0.23021469307331488,4.604293861466298,1,19,0.7266235213385948,-9.284715761513652
